"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"072 BCG";93,33;100,66;96,99;136,35;83,70;102,66;102,35;100,62;97,47;103,39;106,87;104,93;106,15;111,65;103,21;83,44;99,16;99,75;104,79;99,08;94,38;91,49;88,78;107,54;105,00;93,14;89,95;97,72
"099 Hepatite B  em crianças até 30 dias";91,31;94,29;90,44;131,29;74,66;91,63;99,07;90,90;91,30;95,54;100,63;98,81;99,90;96,19;105,34;75,53;89,41;91,62;81,29;88,32;65,12;80,50;74,80;101,88;96,51;78,78;113,26;86,73
"061 Rotavírus Humano";96,52;82,15;79,95;94,26;70,66;76,46;92,38;81,58;84,54;113,27;85,12;95,28;94,53;97,01;92,40;78,92;96,87;93,17;88,97;91,10;88,41;92,45;88,84;96,07;91,71;87,69;86,97;89,76
"053 Meningococo C";99,82;75,62;79,16;87,06;64,38;68,11;79,07;76,82;83,47;112,36;83,48;94,09;93,92;99,70;89,51;77,30;96,08;89,31;87,33;87,87;89,72;92,11;81,22;94,19;89,32;87,04;89,21;87,50
"073 Hepatite B";101,10;69,93;79,62;89,26;57,79;64,72;92,41;80,53;89,14;113,36;90,89;95,53;98,37;102,15;97,09;78,98;99,96;104,17;93,53;98,61;98,12;103,51;89,41;95,72;91,38;90,83;87,32;92,91
"080 Penta";99,82;69,67;78,95;86,55;57,20;63,02;89,30;79,42;85,24;105,51;88,77;90,90;93,95;97,11;90,83;76,28;95,58;89,36;87,52;90,11;87,75;91,02;83,38;93,86;89,37;83,01;83,39;87,10
"012 Pneumocócica";103,09;89,08;89,70;98,63;77,66;78,32;99,59;87,81;87,76;117,21;93,58;99,82;100,65;102,91;96,22;82,99;98,79;95,77;92,03;94,34;90,08;90,26;89,11;101,00;97,37;90,97;89,34;93,43
"074 Poliomielite";101,76;77,58;78,83;81,87;68,28;68,66;90,90;79,34;83,00;108,81;89,62;91,55;94,04;94,80;89,09;77,30;95,28;90,54;86,98;91,10;87,72;91,32;84,09;95,03;90,40;84,76;83,35;88,17
"100 Poliomielite 4 anos";0,03;...;0,24;0,38;0,04;...;0,99;0,27;0,13;0,58;1,46;0,27;0,40;1,56;0,05;0,05;0,13;0,35;0,18;0,83;0,11;0,27;0,76;0,54;0,82;0,22;0,11;0,47
"006 Febre Amarela";89,85;66,53;69,93;75,56;62,31;65,43;80,58;71,42;76,45;0,90;0,77;1,02;1,06;2,94;1,16;68,28;93,20;73,80;46,49;58,83;75,46;59,22;58,37;89,70;85,48;78,17;84,26;58,40
"096 Hepatite A";82,45;76,11;78,19;90,46;66,50;68,17;83,51;69,80;75,82;92,85;76,86;82,33;82,42;88,28;81,85;71,83;90,80;88,40;80,94;83,05;88,24;86,55;83,69;91,53;84,04;81,14;85,64;82,16
